old,new,status
Sports and Aviation Strategy Meeting.mp3,2026-04-15 - Clayco - Sports and Aviation Strategy.mp3,file_not_found
Sports and Aviation Strategy Meeting_transcript.txt,2026-04-15 - Clayco - Sports and Aviation Strategy_transcript.txt,renamed
Underground Pipe Installation Planning.mp3,2026-04-24 - Pacific Fusion - Underground Pipe Installation Planning.mp3,renamed
Underground Pipe Installation Planning_transcript.txt,2026-04-24 - Pacific Fusion - Underground Pipe Installation Planning_transcript.txt,renamed
Value Engineering Meeting Review.mp3,2026-05-06 - Pacific Fusion - Value Engineering Meeting Review.mp3,renamed
Value Engineering Meeting Review_transcript.txt,2026-05-06 - Pacific Fusion - Value Engineering Meeting Review_transcript.txt,renamed
Value Engineering Review Meeting.mp3,2026-04-30 - Pacific Fusion - Value Engineering Review Meeting.mp3,renamed
Value Engineering Review Meeting_transcript.txt,2026-04-30 - Pacific Fusion - Value Engineering Review Meeting_transcript.txt,renamed
Value Engineering Strategy Meeting.mp3,2026-04-08 - Pacific Fusion - Value Engineering Strategy.mp3,file_not_found
Value Engineering Strategy Meeting_transcript.txt,2026-04-08 - Pacific Fusion - Value Engineering Strategy_transcript.txt,renamed
Value Engineering Strategy Meeting(1).mp3,2026-05-04 - Pacific Fusion - Value Engineering Strategy.mp3,file_not_found
Value Engineering Strategy Meeting(1)_transcript.txt,2026-05-04 - Pacific Fusion - Value Engineering Strategy_transcript.txt,renamed
Emerging Markets Strategy Meeting.mp3,UNDATED - Clayco - Emerging Markets Strategy.mp3,renamed
Emerging Markets Strategy Meeting_transcript.txt,UNDATED - Clayco - Emerging Markets Strategy_transcript.txt,renamed
Conduit Coordination Meeting.mp3,UNDATED - Pacific Fusion - Conduit Coordination.mp3,renamed
Conduit Coordination Meeting_transcript.txt,UNDATED - Pacific Fusion - Conduit Coordination_transcript.txt,renamed
Construction Preloading Strategy.mp3,UNDATED - Pacific Fusion - Construction Preloading Strategy.mp3,renamed
Construction Preloading Strategy_transcript.txt,UNDATED - Pacific Fusion - Construction Preloading Strategy_transcript.txt,renamed
Construction Scope and Pricing Review.mp3,UNDATED - Pacific Fusion - Construction Scope and Pricing Review.mp3,renamed
Construction Scope and Pricing Review_transcript.txt,UNDATED - Pacific Fusion - Construction Scope and Pricing Review_transcript.txt,renamed
Crane Installation Coordination Meeting.mp3,UNDATED - Pacific Fusion - Crane Installation Coordination.mp3,renamed
Crane Installation Coordination Meeting_transcript.txt,UNDATED - Pacific Fusion - Crane Installation Coordination_transcript.txt,renamed
Design Team Cost-Saving Strategies.mp3,UNDATED - Pacific Fusion - Design Team Cost-Saving Strategies.mp3,renamed
Design Team Cost-Saving Strategies_transcript.txt,UNDATED - Pacific Fusion - Design Team Cost-Saving Strategies_transcript.txt,renamed
Fireproofing Strategy Meeting.mp3,UNDATED - Pacific Fusion - Fireproofing Strategy.mp3,renamed
Fireproofing Strategy Meeting_transcript.txt,UNDATED - Pacific Fusion - Fireproofing Strategy_transcript.txt,renamed
HVAC Cost Estimation Meeting.mp3,UNDATED - Pacific Fusion - HVAC Cost Estimation.mp3,renamed
HVAC Cost Estimation Meeting_transcript.txt,UNDATED - Pacific Fusion - HVAC Cost Estimation_transcript.txt,renamed
Insurance Policy Coordination Meeting.mp3,UNDATED - Pacific Fusion - Insurance Policy Coordination.mp3,renamed
Insurance Policy Coordination Meeting_transcript.txt,UNDATED - Pacific Fusion - Insurance Policy Coordination_transcript.txt,renamed
Permit Review Coordination Meeting.mp3,UNDATED - Pacific Fusion - Permit Review Coordination.mp3,renamed
Permit Review Coordination Meeting_transcript.txt,UNDATED - Pacific Fusion - Permit Review Coordination_transcript.txt,renamed
Project Alignment and Updates.mp3,UNDATED - Pacific Fusion - Project Alignment and Updates.mp3,renamed
Project Alignment and Updates_transcript.txt,UNDATED - Pacific Fusion - Project Alignment and Updates_transcript.txt,renamed
Project Coordination Meeting.mp3,UNDATED - Pacific Fusion - Project Coordination.mp3,renamed
Project Coordination Meeting_transcript.txt,UNDATED - Pacific Fusion - Project Coordination_transcript.txt,renamed
Project Coordination Meeting(1).mp3,UNDATED - Pacific Fusion - Project Coordination (2).mp3,renamed
Project Coordination Meeting(1)_transcript.txt,UNDATED - Pacific Fusion - Project Coordination (2)_transcript.txt,renamed
Project Coordination Meeting(2).mp3,UNDATED - Pacific Fusion - Project Coordination (3).mp3,renamed
Project Coordination Meeting(2)_transcript.txt,UNDATED - Pacific Fusion - Project Coordination (3)_transcript.txt,renamed
Project Coordination Planning Meeting.mp3,UNDATED - Pacific Fusion - Project Coordination Planning.mp3,renamed
Project Coordination Planning Meeting_transcript.txt,UNDATED - Pacific Fusion - Project Coordination Planning_transcript.txt,renamed
Project Design Coordination Meeting.mp3,UNDATED - Pacific Fusion - Project Design Coordination.mp3,renamed
Project Design Coordination Meeting_transcript.txt,UNDATED - Pacific Fusion - Project Design Coordination_transcript.txt,renamed
Project Design Coordination Meeting(2).mp3,UNDATED - Pacific Fusion - Project Design Coordination (2).mp3,renamed
Project Design Coordination Meeting(2)_transcript.txt,UNDATED - Pacific Fusion - Project Design Coordination (2)_transcript.txt,renamed
Project Management Coordination Meeting.mp3,UNDATED - Pacific Fusion - Project Management Coordination.mp3,renamed
Project Management Coordination Meeting_transcript.txt,UNDATED - Pacific Fusion - Project Management Coordination_transcript.txt,renamed
Settlement Criteria Meeting.mp3,UNDATED - Pacific Fusion - Settlement Criteria.mp3,renamed
Settlement Criteria Meeting_transcript.txt,UNDATED - Pacific Fusion - Settlement Criteria_transcript.txt,renamed
Settlement and Foundation Review.mp3,UNDATED - Pacific Fusion - Settlement and Foundation Review.mp3,renamed
Settlement and Foundation Review_transcript.txt,UNDATED - Pacific Fusion - Settlement and Foundation Review_transcript.txt,renamed
Site Plan Permit Coordination.mp3,UNDATED - Pacific Fusion - Site Plan Permit Coordination.mp3,renamed
Site Plan Permit Coordination_transcript.txt,UNDATED - Pacific Fusion - Site Plan Permit Coordination_transcript.txt,renamed
Staffing and Capacity Planning.mp3,UNDATED - Pacific Fusion - Staffing and Capacity Planning.mp3,renamed
Staffing and Capacity Planning_transcript.txt,UNDATED - Pacific Fusion - Staffing and Capacity Planning_transcript.txt,renamed
Project Timeline Coordination Meeting.mp3,UNDATED - Pacific Fusion - Project Timeline Coordination.mp3,renamed
Project Timeline Coordination Meeting_transcript.txt,UNDATED - Pacific Fusion - Project Timeline Coordination_transcript.txt,renamed
Project Design Coordination Meeting(1).mp3,UNDATED - DS3 - Project Design Coordination.mp3,renamed
Project Design Coordination Meeting(1)_transcript.txt,UNDATED - DS3 - Project Design Coordination_transcript.txt,renamed
Project Expedition Planning Meeting.mp3,UNDATED - Gotion - Project Expedition Planning.mp3,renamed
Project Expedition Planning Meeting_transcript.txt,UNDATED - Gotion - Project Expedition Planning_transcript.txt,renamed
Preconstruction Process Improvement.mp3,UNDATED - Clayco - Preconstruction Process Improvement.mp3,renamed
Preconstruction Process Improvement_transcript.txt,UNDATED - Clayco - Preconstruction Process Improvement_transcript.txt,renamed
Project Sun Overview Meeting.mp3,UNDATED - Project Sun - Overview Meeting.mp3,renamed
Project Sun Overview Meeting_transcript.txt,UNDATED - Project Sun - Overview Meeting_transcript.txt,renamed
Solis Workshop 4_ Structural 2.mp3,UNDATED - Project Solis - Workshop 4 - Structural 2.mp3,renamed
Solis Workshop 4_ Structural 2_transcript.txt,UNDATED - Project Solis - Workshop 4 - Structural 2_transcript.txt,renamed
GC Kickoff .mp3,UNDATED - REVIEW - GC Kickoff.mp3,renamed
GC Kickoff _transcript.txt,UNDATED - REVIEW - GC Kickoff_transcript.txt,renamed
Note.mp3,UNDATED - Personal - Voice Note.mp3,renamed
Note_transcript.txt,UNDATED - Personal - Voice Note_transcript.txt,renamed
Note(1).mp3,UNDATED - Personal - Voice Note (2).mp3,renamed
Note(1)_transcript.txt,UNDATED - Personal - Voice Note (2)_transcript.txt,renamed
Note(2).mp3,UNDATED - Personal - Voice Note (3).mp3,file_not_found
Note(2)_transcript.txt,UNDATED - Personal - Voice Note (3)_transcript.txt,renamed
